X_Scale,Y_Scale,H_Ell_Scale,NS,CMI_na,Weird_Depth_na,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-8.228818567,-131.0223891,8.98352,9,-9999,-9999,,,,,,,,,897.8,,,,,,,,,,-82288.18567,-1310223.891
-8.219775186,-131.0223221,8.98288,9,-9999,-9999,,,,,,,,,897.587,,,,,,,,,,-82197.75186,-1310223.221
-8.210729168,-131.0222631,8.9821,9,-9999,-9999,,,,,,,,,897.229,,,,,,,,,,-82107.29168,-1310222.631
-8.201680711,-131.0222049,8.982,9,-9999,-9999,,,,,,,,,896.838,,,,,,,,,,-82016.80711,-1310222.049
-8.192631595,-131.0221429,8.98214,9,-9999,-9999,,,,,,,,,896.521,,,,,,,,,,-81926.31595,-1310221.429
-8.183582092,-131.0220788,8.98174,9,-9999,-9999,,,,,,,,,896.218,,,,,,,,,,-81835.82092,-1310220.788
-8.174531621,-131.0220132,8.9811,9,-9999,-9999,,,,,,,,,895.877,,,,,,,,,,-81745.31621,-1310220.132
-8.165480377,-131.0219446,8.98036,9,-9999,-9999,,,,,,,,,895.59,,,,,,,,,,-81654.80377,-1310219.446
-8.156428165,-131.0218712,8.97969,9,-9999,-9999,,,,,,,,,895.296,,,,,,,,,,-81564.28165,-1310218.712
-8.147375238,-131.0217925,8.97918,9,-9999,-9999,,,,,,,,,895.005,,,,,,,,,,-81473.75238,-1310217.925
-8.138322231,-131.0217117,8.97871,9,-9999,-9999,,,,,,,,,894.713,,,,,,,,,,-81383.22231,-1310217.117
-8.12927023,-131.021632,8.9785,9,-9999,-9999,,,,,,,,,894.485,,,,,,,,,,-81292.7023,-1310216.32
-8.120219625,-131.0215564,8.97796,9,-9999,-9999,,,,,,,,,894.326,,,,,,,,,,-81202.19625,-1310215.564
-8.111169738,-131.0214862,8.97654,9,-9999,-9999,,,,,,,,,894.16,,,,,,,,,,-81111.69738,-1310214.862
-8.10212033,-131.0214201,8.97479,9,-9999,-9999,,,,,,,,,893.976,,,,,,,,,,-81021.2033,-1310214.201
-8.093071816,-131.02136,8.97296,9,-9999,-9999,,,,,,,,,893.855,,,,,,,,,,-80930.71816,-1310213.6
-8.084024132,-131.0213058,8.97155,9,-9999,-9999,,,,,,,,,893.812,,,,,,,,,,-80840.24132,-1310213.058
-8.074977498,-131.0212522,8.97073,9,-9999,-9999,,,,,,,,,893.778,,,,,,,,,,-80749.77498,-1310212.522
