Line,UTCDate,UTCsod,UTCTime,unixTime,Latitude,Longitude,H_Ell,Pitch,Roll,Heading,X_EPSG_3031,Y_EPSG_3031,X,Y,Dist_meters,Dist_km,unix_sec,StartEnd
L660,2015/11/20,6114,01:41:54,1447983714,-79.3129502846,160.8955188094,793.178,7.859342,7.615859,-71.583013,381103.897026273,-1100284.07143964,38.1103897026273,-110.028407143964,927756.893431834,927.756893431834,1447983714,1
L670,2015/11/12,3876.655,01:04:37,1447290276.655,-78.61773908,-153.611211386,1174.264,3.306055,-4.534984,-129.285229,-551410.001918215,-1111354.22354359,-55.1410001918215,-111.135422354359,0,0,1447290276,1
L670,2015/11/12,13521,03:45:21,1447299921,-79.2436488946,161.2888221539,820.975,4.680348,4.426684,-74.162795,375978.092853058,-1110066.26864683,37.5978092853059,-111.006626864683,927388.98912555,927.38898912555,1447299921,1
L680,2015/11/19,71882.65,19:58:03,1447963082.65,-79.1047403199,160.6115995634,940.862,6.032728,-8.086261,109.100494,394125.768650112,-1119904.39356197,39.4125768650112,-111.990439356197,0,0,1447963082,1
L680,2015/11/19,82520,22:55:20,1447973720,-78.5085935754,-153.431304409,1044.586,3.900028,4.3173,60.378041,-560252.09572197,-1120326.03427022,-56.025209572197,-112.032603427022,954377.957511752,954.377957511752,1447973720,1
L690,2017/11/05,82658.985,22:57:39,1509922658.985,-78.4537234808,-153.846075197,1114.396,3.3268240579,4.4706731807,-108.377507028,-554780.829969942,-1129755.98954171,-55.4780829969942,-112.975598954171,0,0,1509922658,1
L690,2017/11/06,7070,01:57:50,1509933470,-79.0928004921,162.1205939011,1397.437,10.0045994073,11.7474625355,-22.8072386184,364899.432850254,-1131140.30122745,36.4899432850254,-113.114030122745,919681.304659319,919.681304659319,1509933470,1
L700,2015/11/16,39308.3,10:55:08,1447671308.3,-78.4167475274,-154.476254148,812.244,4.591091,-0.662234,-108.014822,-544069.812178593,-1139450.52922276,-54.4069812178593,-113.945052922276,0,0,1447671308,1
L700,2015/11/16,49054,13:37:34,1447681054,-78.9614124601,161.4793546491,711.527,-0.106515,-0.128471,-56.127671,382110.496204607,-1140641.83879245,38.2110496204607,-114.064183879245,926181.074550376,926.181074550376,1447681054,1
L710,2017/11/05,72683.35,20:11:23,1509912683.35,-78.8591518452,161.6981572372,1247.817,3.7504996949,-15.221949915,167.0499973145,381272.437160664,-1152736.98112296,38.1272437160664,-115.273698112296,0,0,1509912683,1
L710,2017/11/05,82361,22:52:41,1509922361,-78.3241029592,-154.529871644,966.255,4.6882386178,11.3819555693,124.3151913899,-547375.177868124,-1149137.36997252,-54.7375177868124,-114.913736997252,928654.591384273,928.654591384273,1509922361,1
L720,2015/11/16,28836.315,08:00:36,1447660836.315,-78.8290851614,162.6002264978,1390.661,5.019461,-1.839232,128.75158,364062.995028965,-1161742.52382765,36.4062995028965,-116.174252382765,0,0,1447660836,1
L720,2015/11/16,39014,10:50:14,1447671014,-78.25443899,-154.968386621,796.755,3.930973,3.170735,63.473655,-541799.255008219,-1160220.48145899,-54.1799255008219,-116.022048145899,905863.528714675,905.863528714675,1447671014,1
L740,2015/12/01,32545.195,09:02:25,1448960545.195,-78.1274870349,-155.789045912,963.883,4.633773,-1.269976,-119.503173,-530840.980739437,-1180571.03957193,-53.0840980739437,-118.057103957193,0,0,1448960545,1
L740,2015/12/01,41997,11:39:57,1448969997,-78.7101848259,163.5800791856,782.99,3.36827,4.433684,-71.032958,347828.713782018,-1180305.32319324,34.7828713782018,-118.030532319324,878669.734698778,878.669734698778,1448969997,1
